Theme,Count
"PROTEST,65",38
"WB_1803_TRANSPORT_INFRASTRUCTURE,140",21
"WB_1803_TRANSPORT_INFRASTRUCTURE,467",21
"PROTEST,8901",19
"PROTEST,111",18
"PROTEST,330",18
"WB_2026_PREVENTION,1302",18
"WB_2026_PREVENTION,1306",16
"WB_1803_TRANSPORT_INFRASTRUCTURE,2508",16
"WB_1803_TRANSPORT_INFRASTRUCTURE,2643",16
"TAX_FOODSTAPLES_WHEAT,1324",15
"WB_667_ICT_INFRASTRUCTURE,3595",13
"WB_2026_PREVENTION,1301",13
"PROTEST,15",8
"WB_1803_TRANSPORT_INFRASTRUCTURE,1081",7
"WB_1803_TRANSPORT_INFRASTRUCTURE,444",7
"WB_2961_RESILIENT_INFRASTRUCTURE,1919",7
"PROTEST,73",6
"PROTEST,364",6
"PROTEST,308",6
"CRISISLEX_T04_INFRASTRUCTURE,685",6
"CRISISLEX_T04_INFRASTRUCTURE,1223",6
"CRISISLEX_T04_INFRASTRUCTURE,1837",6
"CRISISLEX_T04_INFRASTRUCTURE,1880",6
"CRISISLEX_T04_INFRASTRUCTURE,1949",6
"PROTEST,158",6
"PROTEST,114",6
"WB_1803_TRANSPORT_INFRASTRUCTURE,173",6
"WB_1803_TRANSPORT_INFRASTRUCTURE,1254",6
"WB_1803_TRANSPORT_INFRASTRUCTURE,1627",6
"NATURAL_DISASTER_SEVERE_COLD,13",5
"WB_1803_TRANSPORT_INFRASTRUCTURE,107",5
"PROTEST,68",5
"WB_1803_TRANSPORT_INFRASTRUCTURE,407",5
"PROTEST,201",5
"WB_1458_HEALTH_PROMOTION_AND_DISEASE_PREVENTION,2173",5
"WB_2026_PREVENTION,2173",5
"PROTEST,502",5
"PROTEST,59",5
"PROTEST,1205",5
"PROTEST,152",4
"WB_1803_TRANSPORT_INFRASTRUCTURE,63",4
"PROTEST,92",4
"PROTEST,119",4
"PROTEST,70",4
"PROTEST,39",4
"PROTEST,715",4
"PROTEST,14",4
"PROTEST,967",4
"PROTEST,74",4
"PROTEST,133",4
"PROTEST,41",4
"PROTEST,80",4
"PROTEST,896",4
"PROTEST,151",4
"PROTEST,206",4
"PROTEST,54",4
"PROTEST,1762",4
"PROTEST,377",4
"NATURAL_DISASTER_FREEZING_TEMPERATURES,164",4
"PROTEST,468",4
"PROTEST,1574",4
"PROTEST,817",4
"PROTEST,277",4
"PROTEST,1138",4
"PROTEST,213",4
"PROTEST,146",4
"PROTEST,659",4
"PROTEST,18",4
"PROTEST,1252",4
"PROTEST,1115",4
"PROTEST,349",4
"CRISISLEX_O01_WEATHER,7841",4
"CRISISLEX_O01_WEATHER,17451",4
"PROTEST,109",4
"CRISISLEX_T04_INFRASTRUCTURE,1273",4
"PROTEST,631",4
"PROTEST,120",4
"PROTEST,663",4
"PROTEST,1926",4
"PROTEST,820",3
"WB_667_ICT_INFRASTRUCTURE,261",3
"PROTEST,785",3
"PROTEST,786",3
"PROTEST,101",3
"NATURAL_DISASTER_SEVERE_COLD,1640",3
"NATURAL_DISASTER_SEVERE_COLD,1835",3
"WB_1803_TRANSPORT_INFRASTRUCTURE,1438",3
"NATURAL_DISASTER_SEVERE_COLD,39",3
"PROTEST,90",3
"PROTEST,93",3
"WB_1803_TRANSPORT_INFRASTRUCTURE,135",3
"PROTEST,333",3
"PROTEST,1477",3
"PROTEST,30",3
"PROTEST,716",3
"CRISISLEX_O01_WEATHER,2929",3
"CRISISLEX_O01_WEATHER,11195",3
"CRISISLEX_O01_WEATHER,15930",3
"CRISISLEX_O01_WEATHER,22731",3
"CRISISLEX_T04_INFRASTRUCTURE,1022",3
"CRISISLEX_T04_INFRASTRUCTURE,1137",3
"CRISISLEX_T04_INFRASTRUCTURE,1717",3
"CRISISLEX_T04_INFRASTRUCTURE,2115",3
"PROTEST,134",3
"PROTEST,100",3
"WB_1803_TRANSPORT_INFRASTRUCTURE,1456",3
"PROTEST,172",3
